sentence_A,sentence_B,relatedness_score
A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,-0.75
A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,-0.10000000000000009
The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,-0.8500000000000001
The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,-0.30000000000000004
The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,-0.19999999999999996
There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,-0.1499999999999999
A group of boys in a yard is playing and a man is standing in the background,The young boys are playing outdoors and the man is smiling nearby,-0.3500000000000001
A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby,0.0
The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,-0.3500000000000001
A brown dog is attacking another animal in front of the tall man in pants,A brown dog is attacking another animal in front of the man in pants,-0.9500000000000002
A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,-0.3325
Two dogs are fighting,Two dogs are wrestling and hugging,-0.5
Two dogs are wrestling and hugging,There is no dog wrestling and hugging,-0.1499999999999999
A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,-0.25
A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging,0.1499999999999999
Two dogs are wrestling and hugging,A brown dog is attacking another animal in front of the tall man in pants,0.050000000000000044
Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,0.3500000000000001
A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,-0.10000000000000009
A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,-0.9500000000000002
There is no man in a black jacket doing tricks on a motorbike,A person in a black jacket is doing tricks on a motorbike,-0.30000000000000004
A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,0.0
A skilled person is riding a bicycle on one wheel,A person is riding the bicycle on one wheel,-0.6499999999999999
Nobody is riding the bicycle on one wheel,A person is riding the bicycle on one wheel,-0.5499999999999998
A person in a black jacket is doing tricks on a motorbike,A skilled person is riding a bicycle on one wheel,-0.19999999999999996
Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,0.10000000000000009
A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,-0.3500000000000001
A person is riding the bicycle on one wheel,There is no man in a black jacket doing tricks on a motorbike,-0.10000000000000009
A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,-0.19999999999999996
A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,-0.1499999999999999
A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,-0.9500000000000002
