,Question,Answere
0,What is COVID-19?,"COVID-19 is the disease caused by a new coronavirus called SARS-CoV-2.  WHO first learned of this new virus on 31 December 2019, following a report of a cluster of cases of ‘viral pneumonia’ in Wuhan, People’s Republic of China."
0,Can adolescents catch COVID-19?,"Yes. All age groups can catch COVID-19.While we are still learning about how COVID-19 affects people, so far, data suggests that children under the age of 18 years have few deaths compared to other age groups and usually mild disease. However, cases of critical illness have been reported. As with adults, pre-existing medical problems like high blood pressure, heart and lung problems, asthma, diabetes, obesity, cancer and neurological and developmental conditions are risk factors for severe disease and intensive care admission in children. Further resources:Read our Q&A on Coronavirus disease (COVID-19) on who is most at risk of severe illness from COVID-19"
0,Can COVID-19 be passed through breastfeeding?,Transmission of active COVID-19 (virus that can cause infection) through breast milk and breastfeeding has not been detected to date. There is no reason to avoid or stop breastfeeding.
0,Should children wear a mask?,"WHO advises that people always consult and abide by local authorities on recommended practices in their area. An international and multidisciplinary expert group brought together by WHO reviewed evidence on COVID-19 disease and transmission in children and the limited available evidence on the use of masks by children. Based on this and other factors such as childrens’ psychosocial needs and developmental milestones, WHO and UNICEF advise the following: Children aged 5 years and under should not be required to wear masks. This is based on the safety and overall interest of the child and the capacity to appropriately use a mask with minimal assistance. WHO and UNICEF advise that the decision to use masks for children aged 6-11 should be based on the following factors:Whether there is widespread transmission in the area where the child residesThe ability of the child to safely and appropriately use a maskAccess to masks, as well as laundering and replacement of masks in certain settings (such as schools and childcare services) Adequate adult supervision and instructions to the child on how to put on, take off and safely wear masksPotential impact of wearing a mask on learning and psychosocial development, in consultation with teachers, parents/caregivers and/or medical providersSpecific settings and interactions the child has with other people who are at high risk of developing serious illness, such as the elderly and those with other underlying health conditions WHO and UNICEF advise that children aged 12 and over should wear a mask under the same conditions as adults, in particular when they cannot guarantee at least a 1-metre distance from others and there is widespread transmission in the area.More on the types of masks, how to choose them, and how to wear them is available here:  https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-and-how-to-use-masks"
0,What areas should be prioritized for disinfection in non-health care settings?,"Disinfection practices are important to reduce the potential for COVID-19 virus contamination in non-healthcare settings, such as in the home, office, schools, gyms, publicly accessible buildings, faith-based community centres, markets, transportation and business settings or restaurants. High-touch surfaces in these non-health care settings should be identified for priority disinfection such as door and window handles, kitchen and food preparation areas, counter tops, bathroom surfaces, toilets and taps, touchscreen personal devices, personal computer keyboards, and work surfaces."
0,Where can I find the latest information on COVID-19?,"For the latest information on COVID-19, check regularly on the WHO’s coronavirus pages: https://www.who.int/emergencies/diseases/novel-coronavirus-2019"
0,What is contact tracing?,"Contact tracing is the process of identifying, assessing, and managing people who have been exposed to someone who has been infected with the COVID-19 virus. Contact tracing and quarantine of contacts identified through contact tracing interrupt transmission between people and are essential public health tools for controlling the virus. Contact tracing can also help people who are at a higher risk of developing severe disease know earlier that they have been  exposed so that they can  get medical care quicker if they go on to develop symptoms."
0,How does contact tracing work?,"Contact tracing identifies, and monitors people who have been exposed to someone who has been infected with SARS-CoV-2, and involves several steps: Defining contacts: Contact definitions may vary by country. WHO defines a contact as a person who has been exposed to someone else who has had recent probable or confirmed SARS-CoV-2 infection: 1. face-to-face contact with a probable or confirmed case within 1  meter and for at least 15 minutes; 2. direct physical contact with a probable  or confirmed case; 3. direct care for a patient with probable or confirmed  COVID-19 disease without the use of recommended PPE; or 4. other situations as  indicated by local risk assessments. Exposure is considered any time between 2 days before to at least 13 days after the case started to show symptoms. For  asymptomatic cases, a contact is anyone who has been exposed between 2 days  before and 10 days after the date on which the sample that led to confirmation  of infection was taken. Identifying contacts: this is usually done through an interview with the person infected with SARS-CoV-2 to find out who they have been in contact with during the period of time described above.  There are other ways to identify contacts depending on the setting, for  example through membership or attendance lists of places the case visited  during the period described above, or through public notices. Digital  proximity tracing applications have also been developed to help identify and  notify contacts through automated processes.  Informing contacts: each identified contact should be contacted to confirm whether they meet the definition of a contact. This  may be done through health authorities and/or via digital tracing proximity  applications. Cases may also be encouraged to  inform their own contacts. Each person identified as a contact will be informed about the goal of contact tracing, the process (including how their personal data will be protected), how to undertake quarantine and for how long, and who to contact with any concerns or questions. Additional information should be provided on symptoms to monitor throughout the quarantine period, and what to do if a contact returns  a positive test or becomes unwell. Managing and monitoring contacts: contacts should be encouraged and supported during the  quarantine period. WHO recommends that the quarantine period ends 14 days after the contact was last exposed to the person who has been infected with SARS-CoV-2. However, the duration of the quarantine period may vary between countries. Data processes and analysis: The information collected from each contact is stored in a secure database. These processes vary from country to country. See question What should be considered for data protection?"
0,Is contraception/ family planning safe to use during the COVID-19 pandemic?,"Yes. All modern methods of contraception are safe to use, including during the COVID-19 pandemic.  If you have had a baby in the last six months or have a health condition, such as diabetes, high blood pressure, or breast cancer – or if you smoke – seek advice from a health care professional to ensure you are using a method of contraception which is suitable and safe for you."
0,Are COVID-19 vaccines safe for people living with HIV?,"Many of the COVID-19 vaccines studies have included a small number of people living with HIV in their trials. Despite limited data, available information suggests current WHO recommended COVID-19 vaccines ( AstraZeneca/Oxford, Johnson and Johnson, Moderna, Pfizer/BionTech, Sinopharm and Sinovac) are safe for people living with HIV. The currently available vaccine products are not live vaccines, they include genetic material from SARS-CoV-2 which cannot replicate. Therefore, these vaccines are not expected to be less safe in people who are immunocompromised. In addition to this, no pharmacological interactions have been reported between COVID-19 vaccines and antiretroviral medications which people living with HIV should continue to take after vaccination to maintain health.Recently, a debate in the scientific literature has led to broader concerns about a potential association observed more than a decade ago between adenovirus vector-based vaccines and an increased risk of acquiring HIV infection among men who received this type of vaccine[1]. This unexpected finding was detected in two HIV vaccine trials that used adenovirus vector containing products[2],[3]. The reason for this observed HIV risk remains uncertain, although several follow-up studies have suggested a possible interference in the HIV specific vaccine response or in the CD4 cell susceptibility to HIV infection induced by this kind of vaccine[4],[5]. However, a third study using another adenovirus vector-based vaccine, conducted more recently has not reported this finding[6]. Specific studies on this topic with COVID-19 vaccines are needed. Despite these potential concerns, it is important to highlight that the benefits of all authorized COVID-19 vaccines in a pandemic context currently outweigh the potential risks. WHO will continue to monitor the situation as new data become available and SAGE recommendations will be updated accordingly."
